"Country or Area","Year","Value","Value Footnotes","Unit"
"Austria","2014","439247","","tonnes"
"Austria","2012","338860","","tonnes"
"Austria","2010","401082","","tonnes"
"Austria","2008","395221","","tonnes"
"Austria","2006","335042","","tonnes"
"Austria","2004","861967","","tonnes"
"China","2015","32237000","","tonnes"
"China","2014","29908200","","tonnes"
"China","2013","24012900","","tonnes"
"China","2012","27028500","","tonnes"
"China","2011","26895300","1","tonnes"
"China","2010","14895000","","tonnes"
"China","2009","12590000","","tonnes"
"China","2008","12080000","","tonnes"
"China","2007","9960000","","tonnes"
"China","2006","8550000","","tonnes"
"China","2005","8350000","","tonnes"
"China","2004","6780000","","tonnes"
"China","2003","8020000","","tonnes"
"China","2002","6330000","","tonnes"
"China","2001","6710000","","tonnes"
"China","2000","5870000","","tonnes"
"China","1999","9890000","","tonnes"
"China","1998","9282000","","tonnes"
"Cuba","2015","272285","","tonnes"
"Cuba","2014","345665","","tonnes"
"Cuba","2013","467293","","tonnes"
"Cuba","2012","537508","","tonnes"
"Cuba","2011","230469","","tonnes"
"Cuba","2010","488662","","tonnes"
"Denmark","2014","1819120","","tonnes"
"Denmark","2012","977663","","tonnes"
"Denmark","2010","1073218","","tonnes"
"Denmark","2008","416095","","tonnes"
"Denmark","2006","375562","","tonnes"
"Denmark","2004","338334","","tonnes"
"Finland","2014","1915719","","tonnes"
"Finland","2012","1411308","","tonnes"
"Finland","2010","1365767","","tonnes"
"Finland","2008","2178038","","tonnes"
"Finland","2006","2172452","","tonnes"
"Finland","2004","2229060","","tonnes"
"France","2014","7605065","","tonnes"
"France","2012","8841003","","tonnes"
"France","2010","8533645","","tonnes"
"France","2008","6853136","","tonnes"
"France","2006","6689820","","tonnes"
"France","2004","6772000","","tonnes"
"Germany","2014","20521108","","tonnes"
"Germany","2012","21098396","","tonnes"
"Germany","2010","19046940","","tonnes"
"Germany","2008","23823844","","tonnes"
"Germany","2006","21743228","","tonnes"
"Germany","2004","20556732","","tonnes"
"Iceland","2014","38960","2","tonnes"
"Iceland","2012","11639","","tonnes"
"Iceland","2010","7926","","tonnes"
"Iceland","2008","135100","","tonnes"
"Iceland","2004","11000","","tonnes"
"Italy","2014","3574305","","tonnes"
"Italy","2012","3258267","","tonnes"
"Italy","2010","3106766","","tonnes"
"Italy","2008","3277345","","tonnes"
"Italy","2006","2926159","","tonnes"
"Italy","2004","2885110","","tonnes"
"Niger","2005","554000","","tonnes"
"Niger","2004","503000","","tonnes"
"Philippines","2015","1229633.5","","tonnes"
"Philippines","2014","913597.8125","","tonnes"
"Philippines","2013","6616669.5","","tonnes"
"Philippines","2012","1894845","","tonnes"
"Philippines","2011","6223840","","tonnes"
"Philippines","2010","548094","","tonnes"
"Philippines","2009","2807165","","tonnes"
"Philippines","2007","1080643","","tonnes"
"Philippines","2006","11809898","","tonnes"
"Philippines","2005","10665520","","tonnes"
"Philippines","2004","786099","","tonnes"
"Philippines","2003","2308258","","tonnes"
"Philippines","2002","328382","","tonnes"
"Philippines","2001","24722.19921875","","tonnes"
"Philippines","2000","308157","","tonnes"
"Portugal","2014","175169","","tonnes"
"Portugal","2012","193394","","tonnes"
"Portugal","2010","310104","","tonnes"
"Portugal","2008","289216","","tonnes"
"Portugal","2006","3363875","","tonnes"
"Portugal","2004","1898715","","tonnes"
"Zimbabwe","2015","146.75","3","tonnes"
"Zimbabwe","2014","10.5","4","tonnes"
"Zimbabwe","2013","11.1800003051758","4","tonnes"
"Zimbabwe","2012","37356.87890625","5","tonnes"
"Zimbabwe","2011","47023.69921875","5","tonnes"
"Zimbabwe","2010","45536.69921875","5","tonnes"
"Zimbabwe","2009","40975.6484375","5","tonnes"
"Zimbabwe","2008","20286.650390625","5","tonnes"
"Zimbabwe","2007","25099.619140625","5","tonnes"
"Zimbabwe","2006","24368.599609375","5","tonnes"
"Zimbabwe","2005","23184.599609375","5","tonnes"
"Zimbabwe","2004","21924.580078125","5","tonnes"
"Zimbabwe","2003","19303","6","tonnes"
"Zimbabwe","2002","20532","6","tonnes"
"Zimbabwe","2001","22212.19921875","6","tonnes"
"Zimbabwe","2000","21640.30078125","6","tonnes"

"fnSeqID","Footnote"
"1","Statistical coverage has broadened from industrial and daily living sources to the following five parts: industrial, agricultural, urban living, motor vehicles and centralized pollution treatment facilities."
"2","Break in time series."
"3","Data refer to Beitbridge, Bulawayo and Plumtree only."
"4","Data refer to Plumtree only."
"5","Date refer to Harare and Plumtree only."
"6","Data refer to city of Harare."
